0 class_name              InputLayer + Conv2D + BatchNormalization + LeakyReLU + MaxPooling2D
0 input_channel           3
0 input_feature_size      256
0 output_channel          16
0 output_feature_size     128
0 kernel_size             3
0 kernel_stride           1
0 padding                 same
0 activate                linear
0 pool_size               2
0 pool_stride             2
0 pool_padding            same
0 units                   -1
0 Have_bias               0
0 weight_address          0
0 input_padding_size      1
0 output_padding_size     1
0 input_tile_number       8
0 input_tile_size         32
0 output_tile_number      4
0 output_tile_size        16
0 next_tile_size          32
0 branch_input_tile_size  32
0 input_address           index0:0

0 output_address          -1
0 pool_address            1048576
0 Leaky_ReLU_alpha        0.100000001490116119
0 Have_BatchNormalization 1
0 Have_ReLU               1
0 Have_Flatten            0
0 Have_Dense              0
0 Have_Maxpooling         1
0 Have_Concat             0
0 Have_Upsample           0
0 Upsample_size           0
0 weight name             conv2d_1
0 node name               conv2d_1
0 Previous_node_OCH       3
0 Is_LeakyReLU            1
0 Batch_First             1
0 quant_batch_bias        10
0 quant_finish            0
0 pooling_quant_finish    0
0 quant_batch             10
0 quant_word_size         0
0 quant_obuf              10
0 Concat_output_control   0
0 branch_node             0
-----------------------------------------------------
1 class_name              Conv2D + BatchNormalization + LeakyReLU + MaxPooling2D
1 input_channel           16
1 input_feature_size      128
1 output_channel          32
1 output_feature_size     64
1 kernel_size             3
1 kernel_stride           1
1 padding                 same
1 activate                linear
1 pool_size               2
1 pool_stride             2
1 pool_padding            same
1 units                   -1
1 Have_bias               0
1 weight_address          2368
1 input_padding_size      1
1 output_padding_size     1
1 input_tile_number       4
1 input_tile_size         32
1 output_tile_number      2
1 output_tile_size        16
1 next_tile_size          32
1 branch_input_tile_size  32
1 input_address           index0:1048576

1 output_address          -1
1 pool_address            1572864
1 Leaky_ReLU_alpha        0.100000001490116119
1 Have_BatchNormalization 1
1 Have_ReLU               1
1 Have_Flatten            0
1 Have_Dense              0
1 Have_Maxpooling         1
1 Have_Concat             0
1 Have_Upsample           0
1 Upsample_size           0
1 weight name             conv2d_2
1 node name               conv2d_2
1 Previous_node_OCH       16
1 Is_LeakyReLU            1
1 Batch_First             1
1 quant_batch_bias        10
1 quant_finish            0
1 pooling_quant_finish    -2
1 quant_batch             10
1 quant_word_size         0
1 quant_obuf              10
1 Concat_output_control   0
1 branch_node             0
-----------------------------------------------------
2 class_name              Conv2D + BatchNormalization + LeakyReLU + MaxPooling2D
2 input_channel           32
2 input_feature_size      64
2 output_channel          64
2 output_feature_size     32
2 kernel_size             3
2 kernel_stride           1
2 padding                 same
2 activate                linear
2 pool_size               2
2 pool_stride             2
2 pool_padding            same
2 units                   -1
2 Have_bias               0
2 weight_address          11712
2 input_padding_size      1
2 output_padding_size     1
2 input_tile_number       2
2 input_tile_size         32
2 output_tile_number      1
2 output_tile_size        16
2 next_tile_size          32
2 branch_input_tile_size  32
2 input_address           index0:1572864

2 output_address          -1
2 pool_address            1835008
2 Leaky_ReLU_alpha        0.100000001490116119
2 Have_BatchNormalization 1
2 Have_ReLU               1
2 Have_Flatten            0
2 Have_Dense              0
2 Have_Maxpooling         1
2 Have_Concat             0
2 Have_Upsample           0
2 Upsample_size           0
2 weight name             conv2d_3
2 node name               conv2d_3
2 Previous_node_OCH       32
2 Is_LeakyReLU            1
2 Batch_First             1
2 quant_batch_bias        12
2 quant_finish            0
2 pooling_quant_finish    0
2 quant_batch             12
2 quant_word_size         0
2 quant_obuf              12
2 Concat_output_control   0
2 branch_node             0
-----------------------------------------------------
3 class_name              Conv2D + BatchNormalization + LeakyReLU + MaxPooling2D
3 input_channel           64
3 input_feature_size      32
3 output_channel          128
3 output_feature_size     16
3 kernel_size             3
3 kernel_stride           1
3 padding                 same
3 activate                linear
3 pool_size               2
3 pool_stride             2
3 pool_padding            same
3 units                   -1
3 Have_bias               0
3 weight_address          48832
3 input_padding_size      1
3 output_padding_size     1
3 input_tile_number       1
3 input_tile_size         32
3 output_tile_number      1
3 output_tile_size        16
3 next_tile_size          16
3 branch_input_tile_size  32
3 input_address           index0:1835008

3 output_address          -1
3 pool_address            1966080
3 Leaky_ReLU_alpha        0.100000001490116119
3 Have_BatchNormalization 1
3 Have_ReLU               1
3 Have_Flatten            0
3 Have_Dense              0
3 Have_Maxpooling         1
3 Have_Concat             0
3 Have_Upsample           0
3 Upsample_size           0
3 weight name             conv2d_4
